,data_to_text,grammar_error_correction,title_generation,keyword_tagging,overlap_extraction,question_rewriting,eval_rougeL
english_repeat_first_sentences,41.9396,85.5172,36.8606,63.3605,37.0482,65.9442,54.4132
english_repeat_last_sentences,43.5134,86.2082,37.505,63.8521,34.8048,58.6742,53.2336
english,0.5358987279950088,1.1426614673160596,0.4528936323489456,1.8687296023412985,1.4176112521499757,0.18844824223112017,0.3796002195292651
english_stopword,0.3633477061377361,0.49841597753951244,0.27590959872151255,0.30745200528790545,1.0341272874586893,0.29874776800653763,0.4024819526664786
english_delete_5,0.28194933745070067,0.7432194471800854,0.25002261675474236,1.1539316877527899,1.4317439738537996,0.1531492300557404,0.42724368014310377
english_delete_10,0.5440265761482196,2.02553693347934,0.1979785341899456,1.0073307831425888,1.7920112245432203,0.0314405258649824,0.34624420412317247
english_insert_5,0.4257296272936097,0.7572129877972889,0.23643894678236804,2.5798220692305303,2.45416846338361,0.5290355522604849,0.0937406350878167
english_insert_10,0.47192342128311016,0.38910116365227704,0.175508106808645,1.242616316040027,1.9381415588708233,0.2573585868437717,0.04767391553273238
english_replace_5,0.3009920633874294,1.0561121194688075,0.3626135163258819,2.344202637714297,1.2170893886646106,0.2172214231301036,0.23679758350868998
english_replace_10,0.3586709943976817,1.4879837775400058,0.3708645874469865,1.6359719014158591,3.2558115741956963,0.527782817285884,0.5946269773750799
english_repeat_sentences,0.37060295315726866,0.2753244268131712,0.3096451338046307,1.6364315567722318,2.526643102792495,0.30335169175214954,0.18551231765033668
english_shuffle_sentences,0.33808265590269854,0.722493710853056,0.8761710081688144,1.1694810254505599,1.7785100512007863,0.3919012148771967,0.17012879434906486
